Failed Test Case,"Number of Times, the TC failed due to unrelated changes",Path,Latest Failed Build ID
test_search_query_on_time,21,tests/sqllab_tests.py,643182021
test_export_1_dashboard,19,tests/import_export_tests.py,596725786
test_export_2_dashboards,19,tests/import_export_tests.py,596725786
test_copy_dash,17,tests/dashboard_tests.py,608452928
test_only_owners_can_save,8,tests/dashboard_tests.py,608452928
test_save_dash,8,tests/dashboard_tests.py,608452928
test_save_dash_with_dashboard_title,8,tests/dashboard_tests.py,608452928
test_save_dash_with_filter,8,tests/dashboard_tests.py,608452928
test_run_async_query,6,tests/celery_tests.py,596725786
test_testconn,5,tests/core_tests.py,632737193
test_load_world_bank_health_n_pop,4,tests/load_examples_test.py,672776651
create_druid_test_objects,4,tests/access_tests.py,596725786
test_existing_feature_flags,4,tests/access_tests.py,596725786
test_feature_flags,4,tests/access_tests.py,596725786
test_nonexistent_feature_flags,4,tests/access_tests.py,596725786
test_load_energy,3,tests/load_examples_test.py,672776651
test_setup_cache_null_config,3,tests/utils_tests.py,641615156
test_api_v1_query_endpoint,2,tests/core_tests.py,642681555
test_client,2,tests/druid_tests.py,641098444
test_save_dash_with_colors,2,tests/dashboard_tests.py,608452928
test_save_dash_with_invalid_filters,2,tests/dashboard_tests.py,608452928
test_remove_slices,2,tests/dashboard_tests.py,608452928
test_run_async_query_with_lower_limit,2,tests/celery_tests.py,596725786
test_csv_endpoint,2,tests/core_tests.py,596725786
test_external_metadata,2,tests/datasource_tests.py,596725786
test_load_birth_names,1,tests/load_examples_test.py,672776651
test_load_unicode_test_data,1,tests/load_examples_test.py,672776651
test_data_for_slices,1,tests/model_tests.py,663237252
test_cache_key_changes_when_datasource_is_updated,1,tests/core_tests.py,642681555
test_setup_cache_no_config,1,tests/utils_tests.py,641615156
test_approve,1,tests/access_tests.py,596725786
test_clean_requests_after_alpha_grant,1,tests/access_tests.py,596725786
test_clean_requests_after_db_grant,1,tests/access_tests.py,596725786
test_clean_requests_after_role_extend,1,tests/access_tests.py,596725786
test_clean_requests_after_schema_grant,1,tests/access_tests.py,596725786
test_override_role_permissions_1_table,1,tests/access_tests.py,596725786
test_override_role_permissions_drops_absent_perms,1,tests/access_tests.py,596725786
test_override_role_permissions_druid_and_table,1,tests/access_tests.py,596725786
test_override_role_permissions_is_admin_only,1,tests/access_tests.py,596725786
test_request_access,1,tests/access_tests.py,596725786
test_cache_value,1,tests/cache_tests.py,596725786
test_run_sync_query_cta,1,tests/celery_tests.py,596725786
test_run_sync_query_cta_no_data,1,tests/celery_tests.py,596725786
test_run_sync_query_dont_exist,1,tests/celery_tests.py,596725786
test_add_slice,1,tests/core_tests.py,596725786
test_cache_key,1,tests/core_tests.py,596725786
test_dashboard_endpoint,1,tests/core_tests.py,596725786
test_databaseview_edit,1,tests/core_tests.py,596725786
test_extra_table_metadata,1,tests/core_tests.py,596725786
test_fetch_datasource_metadata,1,tests/core_tests.py,596725786
test_filter_endpoint,1,tests/core_tests.py,596725786
test_gamma,1,tests/core_tests.py,596725786
test_get_user_slices,1,tests/core_tests.py,596725786
test_import_csv,1,tests/core_tests.py,596725786
test_kv,1,tests/core_tests.py,596725786
test_login,1,tests/core_tests.py,596725786
test_misc,1,tests/core_tests.py,596725786
test_old_slice_csv_endpoint,1,tests/core_tests.py,596725786
test_old_slice_json_endpoint,1,tests/core_tests.py,596725786
test_save_slice,1,tests/core_tests.py,596725786
test_schemas_access_for_csv_upload_endpoint,1,tests/core_tests.py,596725786
test_select_star,1,tests/core_tests.py,596725786
test_shortner,1,tests/core_tests.py,596725786
test_slice_csv_endpoint,1,tests/core_tests.py,596725786
test_slice_data,1,tests/core_tests.py,596725786
test_slice_endpoint,1,tests/core_tests.py,596725786
test_slice_id_is_always_logged_correctly_on_ajax_request,1,tests/core_tests.py,596725786
test_slice_id_is_always_logged_correctly_on_web_request,1,tests/core_tests.py,596725786
