Test Case,Size,Path
test_run_query_order_by_metrics,126,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\druid_func_tests.py
test_request_access,111,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\access_tests.py
test_approve,110,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\access_tests.py
test_set_perm_sqla_table,110,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\security_tests.py
test_merge_extra_filters,109,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\utils_tests.py
test_get_data_transforms_dataframe,99,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\viz_tests.py
test_merge_extra_filters_merges_different_val_types,98,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\utils_tests.py
test_metrics_and_post_aggs,95,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\druid_func_tests.py
test_run_query_single_groupby,93,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\druid_func_tests.py
test_get_data_applies_percentage,87,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\viz_tests.py
test_presto_expand_data_with_complex_array_columns,86,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\db_engine_specs\presto_tests.py
test_druid_sync_from_config,79,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\druid_tests.py
test_join,73,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\sql_parse_tests.py
test_get_post_agg_returns_correct_agg_type,66,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\druid_func_tests.py
test_invalidate_existing_caches,64,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\cachekeys\api_tests.py
test_get_create_table_stmt,64,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\db_engine_specs\hive_tests.py
test_get_dataset_distinct_schema,63,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\datasets\api_tests.py
test_import_csv,61,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\csv_upload_tests.py
test_get_charts_custom_filter,61,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\charts\api_tests.py
test_query_cost_formatter,61,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\db_engine_specs\presto_tests.py
test_rolling,60,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\pandas_postprocessing_tests.py
test_save_slice,59,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\core_tests.py
test_select_star,58,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\model_tests.py
test_alert_observer,57,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\alerts_tests.py
test_merge_extra_filters_ignores_equal_filters,57,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\utils_tests.py
test_filter_nulls,57,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\viz_tests.py
test_merge_extra_filters_adds_unequal_lists,56,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\utils_tests.py
test_flatten_column_after_pivot,54,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\pandas_postprocessing_tests.py
test_delete_bulk_dashboard_not_owned,54,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\dashboards\api_tests.py
test_get_query,54,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\queries\api_tests.py
test_df_to_sql,52,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\db_engine_specs\bigquery_tests.py
test_run_query_with_adhoc_metric,51,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\druid_func_tests.py
test_client,51,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\druid_tests.py
test_druid_time_granularities,50,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\druid_tests.py
test_simple_select,50,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\sql_parse_tests.py
test_results_msgpack_deserialization,49,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\core_tests.py
test_apply_rolling,49,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\viz_tests.py
test_presto_expand_data_array,49,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\db_engine_specs\presto_tests.py
test_get_query_no_data_access,49,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\queries\api_tests.py
test_set_perm_slice,48,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\security_tests.py
test_extra_cache_keys,48,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\sqla_models_tests.py
test_parse_adhoc_filters,48,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\viz_tests.py
test_import_dashboard_2_slices,47,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\import_export_tests.py
test_set_perm_druid_datasource,47,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\security_tests.py
test_get_dashboards_custom_filter,46,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\dashboards\api_tests.py
test_operator_validator,45,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\alerts_tests.py
test_run_query_no_groupby,44,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\druid_func_tests.py
test_get_since_until,44,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\utils_tests.py
test_levels_for_computes_levels,44,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\viz_tests.py
test_get_data_calls_correct_method,44,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\viz_tests.py
test_set_dash_metadata,44,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\dashboards\dao_tests.py
test_results_default_deserialization,43,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\core_tests.py
test_run_query_multiple_groupby,43,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\druid_func_tests.py
test_sql_json_schema_access,43,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\sqllab_tests.py
test_get_dashboard,43,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\dashboards\api_tests.py
test_clean_requests_after_schema_grant,42,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\access_tests.py
test_get_df_handles_dttm_col,42,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\viz_tests.py
test_get_filters_extraction_fn_map,41,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\druid_func_tests.py
test_is_admin_only,41,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\security_tests.py
test_presto_expand_data_with_complex_row_columns,41,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\db_engine_specs\presto_tests.py
test_druid_type_from_adhoc_metric,40,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\druid_func_tests.py
test_get_aggregations,40,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\druid_func_tests.py
test_geodetic_parse,40,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\pandas_postprocessing_tests.py
test_deliver_slice_inline_image,40,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\schedules_test.py
test_deliver_slice_attachment,40,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\schedules_test.py
test_get_list_custom_filter_css_template,40,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\css_templates\api_tests.py
test_dashboard_tags,39,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\strategy_tests.py
test_get_time_range_endpoints,39,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\utils_tests.py
test_process_metrics,39,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\viz_tests.py
test_delete_bulk_chart_not_owned,39,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\charts\api_tests.py
test_import_csv_enforced_schema,38,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\csv_upload_tests.py
test_sync_druid_perm,38,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\druid_tests.py
test_pivot_exceptions,38,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\pandas_postprocessing_tests.py
test_nested_types,38,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\result_set_tests.py
test_update_chart,38,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\charts\api_tests.py
test_update_dashboard_chart_owners,38,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\dashboards\api_tests.py
test_update_dataset_create_column,38,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\datasets\api_tests.py
test_sqllab_backend_persistence_payload,37,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\core_tests.py
test_import_dashboard_1_slice,37,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\import_export_tests.py
test_gamma_permissions,37,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\security_tests.py
test_complex_extract_tables3,37,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\sql_parse_tests.py
test_memoized_on_methods_with_watches,37,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\utils_tests.py
test_timeseries_unicode_data,37,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\viz_tests.py
test_test_connection,37,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\databases\api_tests.py
test_create_dataset_item,37,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\datasets\api_tests.py
test_display_limit,36,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\core_tests.py
test_recursive_get_fields,36,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\druid_func_tests.py
test_filter_values_adhoc_filters,36,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\jinja_context_tests.py
test_build_extra_filters,36,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\utils_tests.py
test_export_2_dashboards,35,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\import_export_tests.py
test_subselect,35,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\sql_parse_tests.py
test_test_connection_failed,35,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\databases\api_tests.py
test_is_db_column_type_match,35,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\db_engine_specs\mysql_tests.py
test_select,34,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\pandas_postprocessing_tests.py
test_views_are_secured,34,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\security_tests.py
test_sql_json_cta_dynamic_db,34,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\sqllab_tests.py
test_adhoc_filters_overwrite_legacy_filters,34,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\viz_tests.py
test_get_data_empty_null_keys,34,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\viz_tests.py
test_chart_data_prophet,34,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\charts\api_tests.py
test_testconn_failed_conn,33,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\core_tests.py
test_deliver_slice_csv_attachment,33,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\schedules_test.py
test_deliver_slice_csv_inline,33,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\schedules_test.py
test_where_operators,33,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\sqla_models_tests.py
test_queries_endpoint,33,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\sqllab_tests.py
test_get_dataset_list,33,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\datasets\api_tests.py
test_clean_requests_after_db_grant,32,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\access_tests.py
test_copy_dash,32,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\dashboard_tests.py
test_filter_druid_datasource,32,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\druid_tests.py
test_schema_deserialization,32,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\query_context_tests.py
test_single_column_multidim_nested_types,32,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\result_set_tests.py
test_deliver_dashboard_as_attachment,32,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\schedules_test.py
test_dashboard_chrome_like,32,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\schedules_test.py
test_rose_vis_get_data,32,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\viz_tests.py
test_get_user_slices_for_owners,31,D:\CoursesResources\MasterThesis\Python_projects\incubator-superset\tests\core_tests.py
